"Outcome","Predictor","Tertiles","Mean","CI_lower","CI_upper","Contrast","Contrast_CI_lower","Contrast_CI_upper"
"waistcirumference","m_nmes","Low (T1)",87.7699251475796,85.8051496580273,89.6623500973225,0.014,-7.08294851870621,-0.567504822509268
"waistcirumference","m_nmes","Moderate (T2)",89.1659371856451,87.3799132414936,91.0892618072282,0.014,-7.08294851870621,-0.567504822509268
"waistcirumference","m_nmes","High (T3)",91.5407861653397,88.9260825133341,94.389440552755,0.014,-7.08294851870621,-0.567504822509268
"waistcirumference","m_fiber","Low (T1)",89.133950252896,86.8884561862344,91.1912295247622,0.945,-0.615808419222584,6.72838661714294
"waistcirumference","m_fiber","Moderate (T2)",87.9897053645373,86.252854413585,89.6519329831479,0.945,-0.615808419222584,6.72838661714294
"waistcirumference","m_fiber","High (T3)",85.9984155951622,83.0516565691229,89.0593117217737,0.945,-0.615808419222584,6.72838661714294
"waistcirumference","m_starch","Low (T1)",87.7311167867405,86.0876885691661,89.5060103847935,0,-10.9087120322733,-3.84376500105472
"waistcirumference","m_starch","Moderate (T2)",90.116444399822,88.1500475838372,92.0152596696009,0,-10.9087120322733,-3.84376500105472
"waistcirumference","m_starch","High (T3)",94.9674593327501,91.919806698124,98.1967645891983,0,-10.9087120322733,-3.84376500105472
"waistcirumference","m_intrinsic_sugars","Low (T1)",90.5054954253144,88.3967882907725,92.5021128034278,1,3.18361616191412,10.5516773202347
"waistcirumference","m_intrinsic_sugars","Moderate (T2)",88.1129230149263,86.3412458296288,89.9563089531699,1,3.18361616191412,10.5516773202347
"waistcirumference","m_intrinsic_sugars","High (T3)",83.4676713252197,80.2720675574542,86.5389814694136,1,3.18361616191412,10.5516773202347
"waistcirumference","m_sucrose","Low (T1)",88.1517761627512,86.212301122305,90.0433067311546,0.176,-5.06762668746645,1.77253733833023
"waistcirumference","m_sucrose","Moderate (T2)",88.6815801733512,86.812046865192,90.4714839986091,0.176,-5.06762668746645,1.77253733833023
"waistcirumference","m_sucrose","High (T3)",89.7167930589061,86.8347498747104,92.3079992004528,0.176,-5.06762668746645,1.77253733833023
"waistcirumference","m_total_sugars","Low (T1)",88.5507883864466,86.5814854475647,90.5166225607919,0.558,-3.03862489758554,3.78062111902606
