"Outcome","Predictor","Tertiles","Mean","CI_lower","CI_upper","Contrast","Contrast_CI_lower","Contrast_CI_upper"
"bmi","m_fiber","Low (T1)",29.8285725090041,28.9793893896017,30.6256506520465,0.94,-0.19827546562002,2.07738172521525
"bmi","m_fiber","Moderate (T2)",29.5219945144251,28.9749452976771,30.0681017883926,0.94,-0.19827546562002,2.07738172521525
"bmi","m_fiber","High (T3)",28.8980263545293,28.0414927832531,29.7679593848949,0.94,-0.19827546562002,2.07738172521525
"bmi","m_starch","Low (T1)",28.9771765446869,28.410971804102,29.5383807394538,0.005,-2.44543598203292,-0.393530944024407
"bmi","m_starch","Moderate (T2)",29.4331386414567,28.9106043493029,29.984888610986,0.005,-2.44543598203292,-0.393530944024407
"bmi","m_starch","High (T3)",30.3451601565176,29.456324451532,31.2484428107632,0.005,-2.44543598203292,-0.393530944024407
"bmi","m_intrinsic_sugars","Low (T1)",30.7105961927399,29.822224033064,31.600724351925,1,1.29415439833566,3.60995221671162
"bmi","m_intrinsic_sugars","Moderate (T2)",29.8971787511344,29.2636303295976,30.4774173982411,1,1.29415439833566,3.60995221671162
"bmi","m_intrinsic_sugars","High (T3)",28.2558207202934,27.5097325515023,29.0261837215544,1,1.29415439833566,3.60995221671162
"bmi","m_sucrose","Low (T1)",29.2493170167105,28.5529887222926,29.9296241634292,0.337,-1.12902628236213,0.71442576627087
"bmi","m_sucrose","Moderate (T2)",29.3206189359365,28.8037821258588,29.8741706106403,0.337,-1.12902628236213,0.71442576627087
"bmi","m_sucrose","High (T3)",29.4517668315175,28.8006838981659,30.1433996025758,0.337,-1.12902628236213,0.71442576627087
"bmi","m_total_sugars","Low (T1)",29.4528045182681,28.725627919167,30.2237006590791,0.665,-0.81732450703067,1.20178208992685
"bmi","m_total_sugars","Moderate (T2)",29.3823973329101,28.8470870882842,29.9069260344418,0.665,-0.81732450703067,1.20178208992685
"bmi","m_total_sugars","High (T3)",29.2422535175114,28.5854484212218,29.9238088153135,0.665,-0.81732450703067,1.20178208992685
"bodyfat_percent","m_nmes","Low (T1)",36.6121912416431,35.7588890763407,37.4686141448678,0.119,-2.07974443303412,0.458526705454023
"bodyfat_percent","m_nmes","Moderate (T2)",36.8893861478114,36.1164876836172,37.6138639822917,0.119,-2.07974443303412,0.458526705454023
"bodyfat_percent","m_nmes","High (T3)",37.4146921814274,36.4294136052659,38.4424510715959,0.119,-2.07974443303412,0.458526705454023
"bodyfat_percent","m_fiber","Low (T1)",38.5178374157146,37.3748796297661,39.6517721697174,1,1.78294964126672,4.8352908719352
"bodyfat_percent","m_fiber","Moderate (T2)",37.3776757063877,36.5862006122095,38.1824251805033,1,1.78294964126672,4.8352908719352
"bodyfat_percent","m_fiber","High (T3)",35.1860432653081,33.9818065747307,36.4039988551912,1,1.78294964126672,4.8352908719352
"bodyfat_percent","m_starch","Low (T1)",36.5854810485561,35.7719273039219,37.4023345040071,0.05,-2.68985148562071,0.195373769793339
"bodyfat_percent","m_starch","Moderate (T2)",37.0211835559918,36.287140275171,37.8044626558882,0.05,-2.68985148562071,0.195373769793339
"bodyfat_percent","m_starch","High (T3)",37.8845777036602,36.6202490944172,39.0191021385717,0.05,-2.68985148562071,0.195373769793339
"bodyfat_percent","m_intrinsic_sugars","Low (T1)",39.5166462229666,38.3743490589385,40.6093363379189,1,3.35756367320724,6.28252387262944
"bodyfat_percent","m_intrinsic_sugars","Moderate (T2)",37.876378825688,37.0871094115658,38.7074708158074,1,3.35756367320724,6.28252387262944
"bodyfat_percent","m_intrinsic_sugars","High (T3)",34.6947699620594,33.6794363480289,35.7186104485895,1,3.35756367320724,6.28252387262944
"bodyfat_percent","m_sucrose","Low (T1)",36.8305676347247,35.8606665535106,37.7615988417392,0.388,-1.51574799178633,1.24992272675499
"bodyfat_percent","m_sucrose","Moderate (T2)",36.890596534434,36.1699153217682,37.6489338168104,0.388,-1.51574799178633,1.24992272675499
"bodyfat_percent","m_sucrose","High (T3)",37.0181634364362,35.9928116261051,37.9023446004463,0.388,-1.51574799178633,1.24992272675499
"bodyfat_percent","m_total_sugars","Low (T1)",37.4860489315626,36.5116762325734,38.5674231407689,0.933,-0.367234986816009,2.50134205591213
"bodyfat_percent","m_total_sugars","Moderate (T2)",37.0573972863073,36.2110892368318,37.8274861881749,0.933,-0.367234986816009,2.50134205591213
"bodyfat_percent","m_total_sugars","High (T3)",36.4005327106381,35.3419142124499,37.3538242864794,0.933,-0.367234986816009,2.50134205591213
"ldl","m_nmes","Low (T1)",2.70238394413483,2.60745499912312,2.79514812916707,0.355,-0.178436131861619,0.1208754317181
"ldl","m_nmes","Moderate (T2)",2.7106568650617,2.62574954575017,2.79487424052517,0.355,-0.178436131861619,0.1208754317181
"ldl","m_nmes","High (T3)",2.73265408198353,2.62483924749514,2.83946327675228,0.355,-0.178436131861619,0.1208754317181
"ldl","m_fiber","Low (T1)",2.82190905056131,2.67488582538711,2.97033746479896,0.979,0.00716859670038784,0.390877675966164
"ldl","m_fiber","Moderate (T2)",2.75458368115388,2.65761473446453,2.85475062007441,0.979,0.00716859670038784,0.390877675966164
