"Outcome","Predictor","Tertiles","Mean","CI_lower","CI_upper","Contrast","Contrast_CI_lower","Contrast_CI_upper"
"waistcirumference","m_nmes","Low (T1)",87.9688513171607,86.109257404955,89.7451398280555,0.01,-6.89338316359053,-0.375271906179005
"waistcirumference","m_nmes","Moderate (T2)",89.3562349927259,87.5398488612723,91.1517454617265,0.01,-6.89338316359053,-0.375271906179005
"waistcirumference","m_nmes","High (T3)",91.6434621583427,88.9436788225731,94.1625563398411,0.01,-6.89338316359053,-0.375271906179005
"waistcirumference","m_fiber","Low (T1)",89.4514769383958,87.3311317037903,91.4824063730529,0.964,-0.164282201101225,7.12130121396549
"waistcirumference","m_fiber","Moderate (T2)",88.2711118689923,86.4526959920924,89.997081005088,0.964,-0.164282201101225,7.12130121396549
"waistcirumference","m_fiber","High (T3)",86.0164407679773,83.034677742776,88.8244729899357,0.964,-0.164282201101225,7.12130121396549
"waistcirumference","m_starch","Low (T1)",87.7939655854888,85.9378381764033,89.5930656563613,0,-10.7451531088707,-3.76265755649622
"waistcirumference","m_starch","Moderate (T2)",90.2052099990453,88.2836109258126,92.1800849559201,0,-10.7451531088707,-3.76265755649622
"waistcirumference","m_starch","High (T3)",94.9619011492255,91.9123181282648,97.9628980263279,0,-10.7451531088707,-3.76265755649622
"waistcirumference","m_intrinsic_sugars","Low (T1)",90.947789352497,88.9012945114393,93.0446597715613,1,2.4719181802914,10.4622541194468
"waistcirumference","m_intrinsic_sugars","Moderate (T2)",88.7745132154234,86.9424588721392,90.5498006652286,1,2.4719181802914,10.4622541194468
"waistcirumference","m_intrinsic_sugars","High (T3)",84.535790517743,80.9536304846531,87.7446560310384,1,2.4719181802914,10.4622541194468
"waistcirumference","m_sucrose","Low (T1)",88.5714210033084,86.6230290354167,90.4681433377616,0.255,-4.77213409786867,1.96430728179812
"waistcirumference","m_sucrose","Moderate (T2)",89.054266541581,87.1580770569682,90.9569402643895,0.255,-4.77213409786867,1.96430728179812
"waistcirumference","m_sucrose","High (T3)",89.8416281460831,87.129461161974,92.6980176154238,0.255,-4.77213409786867,1.96430728179812
"waistcirumference","m_total_sugars","Low (T1)",89.1949334108479,87.0536302725057,91.2596629185589,0.508,-3.28168124138228,3.4957902571849
"waistcirumference","m_total_sugars","Moderate (T2)",89.1460501392063,87.3165428686736,91.0713726141068,0.508,-3.28168124138228,3.4957902571849
"waistcirumference","m_total_sugars","High (T3)",89.1247099932557,86.4317072097343,91.9664823188629,0.508,-3.28168124138228,3.4957902571849
"bmi","m_nmes","Low (T1)",29.8685881224768,29.0209522194512,30.7434209448046,0.067,-2.22167692260671,0.290247979901367
"bmi","m_nmes","Moderate (T2)",30.1968840722783,29.464854887724,31.0060839405273,0.067,-2.22167692260671,0.290247979901367
"bmi","m_nmes","High (T3)",30.8180528913129,29.899266458472,31.7699901823971,0.067,-2.22167692260671,0.290247979901367
"bmi","m_fiber","Low (T1)",30.5872037629538,29.6722859919133,31.4987678675025,0.999,0.700191111486838,3.14907921582171
"bmi","m_fiber","Moderate (T2)",29.8980733572195,29.2636009792272,30.5289451510872,0.999,0.700191111486838,3.14907921582171
"bmi","m_fiber","High (T3)",28.6004892131795,27.7607497127547,29.4882375674625,0.999,0.700191111486838,3.14907921582171
"bmi","m_starch","Low (T1)",29.8611311055302,29.0581797835192,30.6236199389818,0.001,-3.73969660744948,-0.754552050616613
"bmi","m_starch","Moderate (T2)",30.6157248107109,29.7636106527242,31.4761102761032,0.001,-3.73969660744948,-0.754552050616613
"bmi","m_starch","High (T3)",32.073246862737,30.8456289210149,33.3152028343771,0.001,-3.73969660744948,-0.754552050616613
"bmi","m_intrinsic_sugars","Low (T1)",31.5314324080529,30.5138820268749,32.5252042631467,1,1.54038791320024,4.70278527829066
"bmi","m_intrinsic_sugars","Moderate (T2)",30.5138416548195,29.7286644598491,31.2822318037841,1,1.54038791320024,4.70278527829066
"bmi","m_intrinsic_sugars","High (T3)",28.4810470656873,27.2009136843127,29.7144386713562,1,1.54038791320024,4.70278527829066
"bmi","m_sucrose","Low (T1)",30.1052345386142,29.2609154304342,30.9357739284117,0.213,-1.85562907295266,0.72107837151747
"bmi","m_sucrose","Moderate (T2)",30.3076516236736,29.5021158115477,31.1146441606738,0.213,-1.85562907295266,0.72107837151747
"bmi","m_sucrose","High (T3)",30.6263930288026,29.645617386474,31.6413149271093,0.213,-1.85562907295266,0.72107837151747
"bmi","m_total_sugars","Low (T1)",30.6239801436529,29.6562464954479,31.5670093766979,0.531,-1.42127304171632,1.50805996973079
"bmi","m_total_sugars","Moderate (T2)",30.5708944262171,29.7815212871837,31.356545468233,0.531,-1.42127304171632,1.50805996973079
"bmi","m_total_sugars","High (T3)",30.5555387052915,29.4734992028608,31.6331080424656,0.531,-1.42127304171632,1.50805996973079
"bodyfat_percent","m_nmes","Low (T1)",37.7266839733392,36.6664807808508,38.8156524693656,0.032,-3.25563043949901,0.0988419615896842
"bodyfat_percent","m_nmes","Moderate (T2)",38.3102278717832,37.2171149356734,39.3522821271366,0.032,-3.25563043949901,0.0988419615896842
"bodyfat_percent","m_nmes","High (T3)",39.3218404971197,38.062976921847,40.5398750740178,0.032,-3.25563043949901,0.0988419615896842
"bodyfat_percent","m_fiber","Low (T1)",39.0532880309071,37.7684581808123,40.3215325435268,1,2.66865633607579,6.07794760636357
"bodyfat_percent","m_fiber","Moderate (T2)",37.4785326525002,36.6283604222252,38.3482709644881,1,2.66865633607579,6.07794760636357
"bodyfat_percent","m_fiber","High (T3)",34.6450478303281,33.5260973973109,35.8952364333857,1,2.66865633607579,6.07794760636357
"bodyfat_percent","m_starch","Low (T1)",37.8503168700253,36.7995783664464,38.9131647255178,0.005,-4.76701804189385,-0.777191419021493
"bodyfat_percent","m_starch","Moderate (T2)",38.8011116845504,37.6890299779046,39.9341466721637,0.005,-4.76701804189385,-0.777191419021493
"bodyfat_percent","m_starch","High (T3)",40.6030237828042,38.8379353777123,42.4854424874152,0.005,-4.76701804189385,-0.777191419021493
"bodyfat_percent","m_intrinsic_sugars","Low (T1)",40.1125556614145,38.9280282613663,41.3725560998553,0.998,2.15762643630625,6.39703644030198
"bodyfat_percent","m_intrinsic_sugars","Moderate (T2)",38.6707295619206,37.6629815431141,39.750856256709,0.998,2.15762643630625,6.39703644030198
"bodyfat_percent","m_intrinsic_sugars","High (T3)",35.8614317395032,34.0702937417683,37.7513941228061,0.998,2.15762643630625,6.39703644030198
"bodyfat_percent","m_sucrose","Low (T1)",38.0084040034163,36.9326844539571,39.143140049668,0.139,-2.83224461470454,0.804936927413979
"bodyfat_percent","m_sucrose","Moderate (T2)",38.4126079390493,37.3606663537538,39.5089075065622,0.139,-2.83224461470454,0.804936927413979
"bodyfat_percent","m_sucrose","High (T3)",39.0592975790733,37.6613061615199,40.4000456300326,0.139,-2.83224461470454,0.804936927413979
"bodyfat_percent","m_total_sugars","Low (T1)",38.7243325248926,37.5181972389287,39.9116615267083,0.483,-2.077902417827,2.03072741200165
"bodyfat_percent","m_total_sugars","Moderate (T2)",38.7326062781854,37.6122060198726,39.8536970119655,0.483,-2.077902417827,2.03072741200165
"bodyfat_percent","m_total_sugars","High (T3)",38.7758307796191,37.2405283652226,40.2523013563789,0.483,-2.077902417827,2.03072741200165
"ldl","m_nmes","Low (T1)",2.73362260732559,2.5896992001805,2.88266876039558,0.448,-0.215076941699361,0.206541800567886
"ldl","m_nmes","Moderate (T2)",2.73817480664542,2.5965076229519,2.87916221626205,0.448,-0.215076941699361,0.206541800567886
"ldl","m_nmes","High (T3)",2.74828409323464,2.58247926398313,2.90775850640997,0.448,-0.215076941699361,0.206541800567886
"ldl","m_fiber","Low (T1)",2.76442360971496,2.60629583958943,2.92742632700125,0.929,-0.0480892529603601,0.364548927318358
"ldl","m_fiber","Moderate (T2)",2.70592591600041,2.59828563141294,2.81004999831442,0.929,-0.0480892529603601,0.364548927318358
"ldl","m_fiber","High (T3)",2.60291438192406,2.47231684005213,2.73428072117541,0.929,-0.0480892529603601,0.364548927318358
"ldl","m_starch","Low (T1)",2.76887664341781,2.63156238526135,2.91030082186339,0.957,-0.0399807792622528,0.48795160131978
"ldl","m_starch","Moderate (T2)",2.69490671750549,2.55908616920415,2.84254996510333,0.957,-0.0399807792622528,0.48795160131978
"ldl","m_starch","High (T3)",2.54222071609786,2.33744368622999,2.77525360916109,0.957,-0.0399807792622528,0.48795160131978
"ldl","m_intrinsic_sugars","Low (T1)",2.78950059716904,2.63324622041154,2.94454928324289,0.866,-0.112796436760545,0.411804623048384
"ldl","m_intrinsic_sugars","Moderate (T2)",2.73364899959924,2.59317921275387,2.87495098716429,0.866,-0.112796436760545,0.411804623048384
"ldl","m_intrinsic_sugars","High (T3)",2.63185811068889,2.42479487022826,2.85332366550729,0.866,-0.112796436760545,0.411804623048384
"ldl","m_sucrose","Low (T1)",2.73693622354085,2.58176307469414,2.89239279417003,0.508,-0.210775814536597,0.244485756369245
"ldl","m_sucrose","Moderate (T2)",2.73942738484357,2.6005789248264,2.8819039359262,0.508,-0.210775814536597,0.244485756369245
"ldl","m_sucrose","High (T3)",2.73243571535719,2.56447236748985,2.8928585560397,0.508,-0.210775814536597,0.244485756369245
"ldl","m_total_sugars","Low (T1)",2.77449657479475,2.61030038130392,2.95175929371765,0.667,-0.202786777778742,0.305171601640509
"ldl","m_total_sugars","Moderate (T2)",2.74973382442922,2.60248675370035,2.90708578242935,0.667,-0.202786777778742,0.305171601640509
"ldl","m_total_sugars","High (T3)",2.72130227809429,2.54705397872459,2.91715495839539,0.667,-0.202786777778742,0.305171601640509
"hdl","m_nmes","Low (T1)",1.70354732584203,1.63551729742148,1.76827421518374,0.926,-0.0285421602776012,0.162782161245433
"hdl","m_nmes","Moderate (T2)",1.67867581378833,1.61857408914321,1.73881285657927,0.926,-0.0285421602776012,0.162782161245433
"hdl","m_nmes","High (T3)",1.63865080454869,1.57096900039285,1.70609236720513,0.926,-0.0285421602776012,0.162782161245433
"hdl","m_fiber","Low (T1)",1.67805751708857,1.61818634161935,1.75074061666804,0.608,-0.0776474841372859,0.105412813718194
"hdl","m_fiber","Moderate (T2)",1.67466955936972,1.62848390536343,1.72017529003077,0.608,-0.0776474841372859,0.105412813718194
"hdl","m_fiber","High (T3)",1.66557199939046,1.60885779933965,1.72022205872999,0.608,-0.0776474841372859,0.105412813718194
"hdl","m_starch","Low (T1)",1.68353953237976,1.62128585807251,1.74428706895079,0.954,-0.0133210231568403,0.208152515378139
"hdl","m_starch","Moderate (T2)",1.65270432274185,1.58845413277532,1.71388325057648,0.954,-0.0133210231568403,0.208152515378139
"hdl","m_starch","High (T3)",1.58975448360662,1.49122547416568,1.68065014776275,0.954,-0.0133210231568403,0.208152515378139
"hdl","m_intrinsic_sugars","Low (T1)",1.68930791326413,1.61670013474978,1.75632511627972,0.758,-0.0693478989237761,0.162476549188135
"hdl","m_intrinsic_sugars","Moderate (T2)",1.67600034739425,1.61592303755995,1.73605289734353,0.758,-0.0693478989237761,0.162476549188135
"hdl","m_intrinsic_sugars","High (T3)",1.64606615530361,1.55136843523769,1.73786546225729,0.758,-0.0693478989237761,0.162476549188135
"hdl","m_sucrose","Low (T1)",1.69786274670984,1.63464828090657,1.76591502954462,0.87,-0.0356751660233643,0.146413842591091
"hdl","m_sucrose","Moderate (T2)",1.67665895268721,1.6189082846251,1.73640867209937,0.87,-0.0356751660233643,0.146413842591091
"hdl","m_sucrose","High (T3)",1.64378309166948,1.57812405509572,1.71419306250877,0.87,-0.0356751660233643,0.146413842591091
"hdl","m_total_sugars","Low (T1)",1.71561274845816,1.64390167506852,1.78690200041702,0.963,-0.00610268088876411,0.206937425447224
"hdl","m_total_sugars","Moderate (T2)",1.67911454951489,1.61494433147209,1.73986938406653,0.963,-0.00610268088876411,0.206937425447224
"hdl","m_total_sugars","High (T3)",1.62014790741675,1.54382150668475,1.70112884512626,0.963,-0.00610268088876411,0.206937425447224
"hba1c_percent","m_nmes","Low (T1)",5.26663444456984,5.18821719441671,5.34650046025238,0.881,-0.0465331546519343,0.189532967089805
"hba1c_percent","m_nmes","Moderate (T2)",5.24112445345719,5.16845790818622,5.32217871494313,0.881,-0.0465331546519343,0.189532967089805
"hba1c_percent","m_nmes","High (T3)",5.1976757592433,5.12089469361837,5.27613677618091,0.881,-0.0465331546519343,0.189532967089805
"hba1c_percent","m_fiber","Low (T1)",5.23475872161139,5.14996002752162,5.32146608293195,0.374,-0.128212931659636,0.0859429795622997
"hba1c_percent","m_fiber","Moderate (T2)",5.24257659737374,5.19231968552838,5.29639278513897,0.374,-0.128212931659636,0.0859429795622997
"hba1c_percent","m_fiber","High (T3)",5.25294565739723,5.1846344056377,5.32006758584031,0.374,-0.128212931659636,0.0859429795622997
"hba1c_percent","m_starch","Low (T1)",5.24831175490741,5.17473526431879,5.31875879904344,0.379,-0.153681481310484,0.112011740554226
"hba1c_percent","m_starch","Moderate (T2)",5.25644246450209,5.18077846700894,5.33478540135553,0.379,-0.153681481310484,0.112011740554226
"hba1c_percent","m_starch","High (T3)",5.26972737711651,5.15440662854602,5.37634924590661,0.379,-0.153681481310484,0.112011740554226
"hba1c_percent","m_intrinsic_sugars","Low (T1)",5.25180326001563,5.16869455092869,5.34057951666981,0.625,-0.124502922980042,0.1711274166726
"hba1c_percent","m_intrinsic_sugars","Moderate (T2)",5.24290222506709,5.1645010490204,5.31403836445182,0.625,-0.124502922980042,0.1711274166726
"hba1c_percent","m_intrinsic_sugars","High (T3)",5.22773525089083,5.1094070071916,5.34796230848077,0.625,-0.124502922980042,0.1711274166726
"hba1c_percent","m_sucrose","Low (T1)",5.27524985138981,5.19496607443456,5.3534989212005,0.898,-0.0321706537919643,0.197260613280783
"hba1c_percent","m_sucrose","Moderate (T2)",5.24676406822709,5.16844998329589,5.32113801836117,0.898,-0.0321706537919643,0.197260613280783
"hba1c_percent","m_sucrose","High (T3)",5.1969023467669,5.1140971119467,5.28480491390353,0.898,-0.0321706537919643,0.197260613280783
"hba1c_percent","m_total_sugars","Low (T1)",5.27041250459427,5.17687427445831,5.36628750267229,0.728,-0.0931785872265925,0.18245777735152
"hba1c_percent","m_total_sugars","Moderate (T2)",5.25153616379122,5.16983395177982,5.33870186886457,0.728,-0.0931785872265925,0.18245777735152
"hba1c_percent","m_total_sugars","High (T3)",5.22505894670893,5.13019006883271,5.32545389521195,0.728,-0.0931785872265925,0.18245777735152
"trig_log","m_nmes","Low (T1)",1.03141207672343,0.956637892719534,1.11429515456141,0.328,-0.149270694235681,0.0932615546638852
"trig_log","m_nmes","Moderate (T2)",1.04214891006716,0.967900865608653,1.12014823134194,0.328,-0.149270694235681,0.0932615546638852
"trig_log","m_nmes","High (T3)",1.06124678604464,0.971377153122279,1.15273281669012,0.328,-0.149270694235681,0.0932615546638852
"trig_log","m_fiber","Low (T1)",1.03999141068119,0.958922329374433,1.12437949943111,0.44,-0.111219418344887,0.101709992295782
"trig_log","m_fiber","Moderate (T2)",1.04273303016861,0.992113691926134,1.10022741201136,0.44,-0.111219418344887,0.101709992295782
"trig_log","m_fiber","High (T3)",1.0493627537347,0.979261142603987,1.11900265873482,0.44,-0.111219418344887,0.101709992295782
"trig_log","m_starch","Low (T1)",1.00962712961866,0.945003118537501,1.083908886478,0.01,-0.323828766474418,-0.0226196234167853
"trig_log","m_starch","Moderate (T2)",1.06191760225273,0.984777838088818,1.1461310490261,0.01,-0.323828766474418,-0.0226196234167853
"trig_log","m_starch","High (T3)",1.17701989632182,1.04896856589668,1.31097059126777,0.01,-0.323828766474418,-0.0226196234167853
"trig_log","m_intrinsic_sugars","Low (T1)",1.04624022086201,0.962923113066179,1.14311456916573,0.506,-0.144285161803813,0.145037178919638
"trig_log","m_intrinsic_sugars","Moderate (T2)",1.04743683811943,0.974463382532708,1.12645751233688,0.506,-0.144285161803813,0.145037178919638
"trig_log","m_intrinsic_sugars","High (T3)",1.04509187981695,0.93441693179436,1.16555357458068,0.506,-0.144285161803813,0.145037178919638
"trig_log","m_sucrose","Low (T1)",1.04247798893565,0.970553468883634,1.12242654162268,0.478,-0.122277976022746,0.11368018995899
"trig_log","m_sucrose","Moderate (T2)",1.04707297688856,0.975024201447447,1.1199554465571,0.478,-0.122277976022746,0.11368018995899
"trig_log","m_sucrose","High (T3)",1.0473757396736,0.962872984029213,1.13859407837362,0.478,-0.122277976022746,0.11368018995899
"trig_log","m_total_sugars","Low (T1)",1.04038711768488,0.961862543283146,1.13537862597176,0.297,-0.165967044903502,0.0935386219652409
"trig_log","m_total_sugars","Moderate (T2)",1.05403706461535,0.974655873743574,1.13598659852571,0.297,-0.165967044903502,0.0935386219652409
"trig_log","m_total_sugars","High (T3)",1.07619820437026,0.980440944673793,1.18598382122952,0.297,-0.165967044903502,0.0935386219652409
